name,species,breed,image,gender,age,status,description
Kimberly Christian,Dog,American Foxhound,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23006_american-foxhound-460x290.jpg,Male,8,Available,"When you see foxhunters in movies or on television _—” or out in the field if you live in hunt country _—” packs of American Foxhounds are leading the chase. Or perhaps you were introduced to the breed through Rita Mae Brown's Mrs. Murphy mystery series, set in Virginia hunt country with a number of American Foxhounds as key characters.This rare breed still lives and works the way its ancestors did when they came to this country more than 200 years ago. Bred to hunt in large packs, American Foxhounds were developed from hounds brought by English settlers, who adapted them to suit the game and terrain of their new land.American Foxhounds like the company of other dogs but can be a single companion dog if you're committed to giving them the exercise they'd normally get running around with their canine friends, and to spending the time to help them bond with their human family. Despite their size, they're mild-mannered unless they're in pursuit of their quarry. Then they become relentless in the hunt.Like all hounds, the Foxhound is musical. Hounds are described as having bell-like voices, and their baying can carry for miles. It's best not to bring one home unless you're sure your neighbors will appreciate the concert or live far enough away that they won't be disturbed."
Keith Carpenter,Dog,American Leopard Hound,https://cdn3-www.dogtime.com/assets/uploads/2019/09/american-leopard-hound-dog-breed-picture-cover.jpg,Female,9,Available,"The American Leopard Hound's coat can be spotted. The main colors of this breed are yellow, black, brindle, red and blue, or mouse color. Any of these may also include white points and a white collar.Their outer coat is rough, and the undercoat is fine and woolly. They're fairly easy to groom.The UKC recognized this breed in 1998 as the Leopard Cur and, along with the breeder association, changed the breed's name to American Leopard Hound in 2008 so that the dogs could compete in events involving coonhounds.The American Leopard Hound is a gentle and easily sociable breed, which makes them great with children of all ages. However, you must still make sure younger children are able to play gently.These dogs are capable of handling extreme hot or extreme cold weather, as they are a fairly tough breed.American Leopard Hounds have high energy and would prefer a home with a large yard to run around."
Michael Howell,Dog,American Pit Bull Terrier,https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23052_pitbull-dog-breed-pittie.jpg,Male,6,Available,"The American Pit Bull Terrier is one of the so-called bully breeds often labeled a pit bull. In fact, ""pit bull"" isn't a breed, but a term used to describe the American Pit Bull Terrier, the Bull Terrier, the American Staffordshire Terrier, and the Staffordshire Bull Terrier.Some people say the American Pit Bull Terrier is the same as the American Staffordshire Terrier. Others, just as forcefully, say they're entirely different breeds.But all experts can agree that the confusion started with a decision by the AKC in the early 1930s to give it a new name, American Staffordshire Terrier, to separate it from its pit-fighting past. The American Pit Bull Terrier has not been recognized by the AKC, while the American Staffordshire Terrier, which is slightly smaller, has been.The bull breeds are often grossly misunderstood. The qualities that make these dogs tenacious players in obedience and agility games also attract highly unscrupulous people looking for strong competitors for their dog fighting rings. The sorry result is that bull breeds, in particular the APBT, have gained a reputation over recent years for being dangerous.Nothing could be further from the truth. But rampant misinformation and fear caused by the actions of a minority of dogs kept by criminally negligent people have provoked legislation against the breed in a number of cities and countries around the world.As the owner of an American Pit Bull Terrier you must be aware that you may be met with anger and hostility by people who are misinformed about your wonderful dog. This is not a breed for everyone, especially those who aren't willing to invest time in training and socialization and can't or won't provide consistent firm guidance.When raised with the proper training and socialization, the American Pit Bull Terrier makes an excellent companion for children. He is loving and gentle with people and often makes a lousy guard dog because of his tail-wagging eagerness to greet the person at the door. American Pit Bull Terriers are devoted and loyal to their family and will, if necessary, defend them to the death.These dogs are extremely intelligent and learn commands and tricks with ease. They have a zest for life and love to be involved in everything going on around them. They maintain a puppyish demeanor well into adulthood, and that vitality makes them a joy to live with. Once you have met and gotten to know this breed you will wonder how you ever lived without one."
Victor Jackson,Dog,American Pugabull,https://cdn1-www.dogtime.com/assets/uploads/2019/08/american-pugabull-mixed-dog-breed-pictures-cover.jpg,Male,10,Available,"American Pugabulls are mixed breed dogs. They are not purebreds like their American Bulldog or Pug parents.he main colors of Pugabulls are tan, cream, brown, black, red, and white and are rarely solid. They are generally a blend of two or more colors.This breed is not hypoallergenic, however their short coats do mean they are easy to groom. A good brushing two to three times per week, should suffice.Because they tend to have shorter coats, American Pugabulls aren't particularly suited for extreme weather. You'll likely need a coat in the winter, and you may need to apply dog sunscreen in the summer.So long as they are trained properly, Pugabulls are great with children and are very loyal to all members of the family.American Pugabulls do best with early training. They need a strong leader and may want to test you, but for a patient, consistent owner, their loyalty and desire to please will help training go a bit more smoothly.Pugabulls are prone to weight gain, and they have high energy levels. Make sure your dog gets several short walks per day with active play sessions in between.So long as Pugabulls are socialized and trained, they usually get along with other dogs and pets just fine."
Terry Holt,Dog,American Staffordshire Terrier,https://cdn1-www.dogtime.com/assets/uploads/2018/01/american-staffordshire-terrier-dog-breed-pictures-cover-460x260.jpg,Female,5,Available,"The American Staffordshire Terrier is a loving, loyal, playful dog that loves to spend time with human family members. They are quite muscular for their size, which can make them a handful on walks if they aren't trained properly. They also have strong jaws, which they will use to chew out of boredom. Many a piece of furniture has been destroyed by an American Staffordshire Terrier that isn't physically and mentally stimulated enough. However, a confident, firm trainer that can meet the physical demands of the breed without harsh punishment will be rewarded with a calm, obedient dog that is comfortable with nose work, agility exercises, and athletic competitions, as well as just snuggling up on the couch. Although they are used as watchdogs, their natural love of humans makes the American Staffordshire Terrier's guarding ability more based on intimidation than anything else. Their muscular build and reputation as aggressive dogs act as deterrents from intruders, though that reputation is mostly undeserved. The American Staffordshire Terrier shares much in common with the American Pit Bull Terrier. Both have been used in illegal dog fighting rings, which makes them the targets of Breed Specific Legislation that bans them. But when brought up in a home with love that gives them proper training and socialization, American Staffordshire Terriers are docile, affectionate animals that are very loyal and obedient."
James Gomez,Dog,American Water Spaniel,https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_22954_american-water-spaniel-460x290.jpg,Female,2,Available,"Although he's not well known outside the Great Lakes area of the United States, the American Water Spaniel (AWS) has qualities that make him well worth your consideration, especially if you're outdoorsy and live near the water.The AWS is a medium-size all-around hunting dog and retriever, so he's chock-full of energy and enthusiasm. Like other hunting dogs he needs plenty of exercise and mental stimulation, and so long as he gets it _—” whether it's from retrieving game out in the field or playing fetch with the kids _—” he's a well-mannered family companion.Although the AWS is used to hunt all sorts of small game, he specializes in waterfowl, and is a natural swimmer as well as a skilled retriever and hunter. His versatility serves him well in many dog sports and activities such as agility, obedience trials, hunt tests, rally, therapy work, tracking, and search and rescue, as well as conformation.If you're looking for an active dog who loves to swim and retrieve and can be trained for different sports and activities, the American Water Spaniel could be an ideal fit for you.The American Water Spaniel will be friendly toward people if they have been properly introduced. He makes an excellent watchdog however, and will alert you with a warning bark if he hears any strange noises.This is a rare breed, and very few puppies are born each year. If you're interested in an AWS, find a reputable breeder who can help you decide if the breed's a good match for you. And then settle in for a good wait _—” you may spend several months or even a year or more on a waiting list before a puppy's available. People who breed these unique dogs want to make sure they go to just the right homes, and they're able to pick and choose the families who'll take great care of their puppies."
James Cervantes,Dog,Anatolian Shepherd Dog,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_22910_anatolian-shepherd-dog-460x290.jpg,Male,7,Available,"The Anatolian Shepherd Dog is a considered a livestock protector or guardian dog. As such, they were developed to live with the flock and adopt it as their own. They are rugged, self-confident guardians who know how much protection or intimidation is necessary in any situation.The Anatolian has been working independently for centuries, making decisions regarding threats to their property. As a puppy, they adopt whomever they live with, be it a family or a herd of sheep; as they grow, they take on the protector gig. It doesn't matter to the Anatolian whether their ""flock"" is human or animal. They are extremely protective and possessive.And they back up their guardian nature with presence. The Anatolian is a large dog, weighing as much as 150 pounds. They have a short, fawn coat and a black mask. They appear intimidating, and if necessary they are_—”though they're calm and friendly with their family.Not surprisingly for a guard dog, the Anatolian Shepherd is suspicious of strangers and reserved with those outside their ""flock."" They take their job seriously_—”this dog is no clown_—”and when their owner isn't home, they are unlikely to allow even friends or extended family members whom they've met before to come onto their property.At the same time, the Anatolian is a very intelligent, loyal, steady working dog. They'reÎ_highly trainable, though they're likely to consider whether or not they will choose to obey a command, due to their independent nature. They need an owner who is strong, kind, and consistent as a pack leader.This breed is probably not a good choice as a family pet if you have very young children. Because they're so large, they could accidentally injure a small child, especially when they're a clumsy, growing puppy (the phrase ""bull in a china shop"" applies).Additionally, the Anatolian typically does not respect children as pack leaders, and they could decide to protect their children from visiting playmates if they're roughhousing and the dog misinterprets the activity. Generally, the Anatolian is tolerant of older children and is good with them. To them, children are, of course, part of the flock that needs guarding, along with the rest of the family.The Anatolian Shepherd is not the perfect breed for everyone. They can be a fine and loyal companion if you and your family understand their unique qualities and requirements and are ready to take on the responsibility of owning a very large and protective dog.If you're looking to adopt an Anatolian Shepherd, meet them first and consult a breed expert to make sure you are ready for the challenge and responsibility."
Andrea Smith,Dog,Appenzeller Sennenhunde,https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23244_what-is-the-appenzeller-sennenhunde-dog.jpg,Female,3,Available,"Also known as the Appenzeller Mountain Dog, this is the rarest of the four ancient Swiss mountain dog breeds. He got his start as an all-around farm dog _—” herding livestock, pulling carts, and guarding the farm _—” in the Appenzell region of Switzerland.Today the Appenzeller's known for being a versatile working and family dog who's smart, cheerful, self-assured, reliable, and fearless. His slight wariness around strangers and tendency to bark makes him a good watchdog, but he needs lots of early socialization so he doesn't become overly suspicious. And because of his barkiness, he's not the best dog if you have nearby neighbors.He's a great friend of children, but may nip at their heels as if they were livestock to be herded; younger Appenzellers are big and exuberant enough to accidentally knock over small kids.Because he's got a strong work ethic and lots of energy, this breed isn't suited to an inactive lifestyle. Provide him with training and a job or dog sport he can do, or he'll be an unhappy camper. Like other breeds that need lots of exercise and stimulation, he can grow bored and destructive if he doesn't get it. He excels at agility, herding, and obedience trials. At home, teach your Appenzeller to pull a cart with your gardening supplies."
James Johnson,Dog,Auggie,https://cdn1-www.dogtime.com/assets/uploads/2019/09/auggie-mixed-dog-breed-pictures-cover.jpg,Female,10,Available,"Auggies are mixed breed dogs. They are not purebreds like their Corgi or Australian Shepherd parents.Auggies are often tri-colored, but they can also have just two colors or even one. Their coats are typically a combination of black, tan, brown, and white.These dogs shed moderately most of the year, but when the seasons change for winter and summer, they shed quite a bit while growing in their new coats."
Rebecca Hensley,Dog,Aussiedoodle,https://cdn1-www.dogtime.com/assets/uploads/2019/07/aussiedoodle-mixed-dog-breed-pictures-cover.jpg,Male,3,Available,"Aussiedoodles are mixed breed dogs. They are not purebreds like their Australian Shepherd or Poodle parents.Many Aussiedoodle owners claim that they are hypoallergenic dogs and may be better for allergy sufferers, though no dog is completely hypoallergenic.Aussiedoodles are smart dogs and require mental stimulation. If they become bored, they may act out in destructive ways.Their coats can be a variety of colors typically seen in Australian Shepherds, like blue merle, red merle, black and red tri, black and tan (AKA ""phantom""), parti, sable, or even a solid color in rare cases.Some Aussiedoodles have wavier coats, while others have tighter curls like their Poodle parents. Aussiedoodles with shorter hair may be better for allergy sufferers, but it is not a guarantee."
Nicole Sandoval,Dog,Aussiepom,https://cdn2-www.dogtime.com/assets/uploads/2019/07/aussiepom-mixed-dog-breed-pictures-cover.jpg,Male,12,Available,"Aussiepoms are mixed breed dogs. They are not purebreds like their Australian Shepherd or Pomeranian parents.The main colors of Aussiepoms are red merle, blue merle, tri-color, and sometimes they can have a solid coat with tiny marks here and there.The Aussiepom may not be an ideal dog for allergy sufferers due to the length of their coat. However, their thick, fluffy coats also protect them from hot or cold climates.Aussiepoms are great with all members of the family, though they are small and can easily be injured by overly excited children. Make sure all kids are taught how to handle dogs gently before making introductions or having play sessions.Aussiepoms have high energy and need plenty of exercise and play time."
